symbol,scenario,n_features,fold,split,n_rows,mae,rmse,r2
AAPL,PRICE_ONLY,5,0,test,125,0.006711640967046955,0.008465934648204635,-0.21086544279198294
AAPL,PRICE+TECH,33,0,test,125,0.02564729355950128,0.026981161112557422,-11.29893006775504
AAPL,PRICE+TECH+LAG,38,0,test,125,0.028465750945826252,0.02966719743828519,-13.869593818468614
AAPL,ALL_NO_MACRO,47,0,test,125,0.025586089386865414,0.026926523851802858,-11.249169461707215
AAPL,ALL_NO_REGIME,51,0,test,125,0.026201508714120077,0.027160857670676265,-11.463299201203174
AAPL,ALL_FULL,60,0,test,125,0.025767457940158233,0.0267573940210415,-11.095774717630343
AAPL,PRICE_ONLY,5,1,test,125,0.006448338727392929,0.007596973899727634,-0.30940442292210313
AAPL,PRICE+TECH,33,1,test,125,0.01841276956644741,0.020632459234726706,-8.658162902591547
AAPL,PRICE+TECH+LAG,38,1,test,125,0.0186693715997011,0.020821108697563345,-8.835585945864102
AAPL,ALL_NO_MACRO,47,1,test,125,0.018236389066708866,0.0203947225955376,-8.43687364082031
AAPL,ALL_NO_REGIME,51,1,test,125,0.014946319964465328,0.016669584083679596,-5.304375360073226
AAPL,ALL_FULL,60,1,test,125,0.01526744721439249,0.017132205156750204,-5.659154140149445
AAPL,PRICE_ONLY,5,2,test,125,0.024471711154630284,0.025014431572035027,-39.60660999138227
AAPL,PRICE+TECH,33,2,test,125,0.021133673908347826,0.021475357635403317,-28.929279873949092
AAPL,PRICE+TECH+LAG,38,2,test,125,0.022078939770979675,0.022419437464691265,-31.61856718277545
AAPL,ALL_NO_MACRO,47,2,test,125,0.021557655905874752,0.021911460268391032,-30.157176950207713
AAPL,ALL_NO_REGIME,51,2,test,125,0.017019338085726237,0.017608316140357173,-19.121071825844876
AAPL,ALL_FULL,60,2,test,125,0.017118753536674296,0.017683612170676405,-19.29352171763396
AAPL,PRICE_ONLY,5,3,test,125,0.004592222878722197,0.006132945084814943,-0.5310790763932627
AAPL,PRICE+TECH,33,3,test,125,0.010116834624065124,0.011496460404625757,-4.380068005769658
AAPL,PRICE+TECH+LAG,38,3,test,125,0.009871079022935152,0.011227452068187298,-4.1312348106342
AAPL,ALL_NO_MACRO,47,3,test,125,0.010758287205186639,0.012152490222011446,-5.011599368626306
AAPL,ALL_NO_REGIME,51,3,test,125,0.00897138927774776,0.01017095969354958,-3.2109815252202525
AAPL,ALL_FULL,60,3,test,125,0.009647367796985957,0.010863539428104191,-3.8039907156492934
AAPL,PRICE_ONLY,5,4,test,125,0.005531300615679125,0.007044383877511489,-0.20992512702199706
AAPL,PRICE+TECH,33,4,test,125,0.00670782557327898,0.00798396169021268,-0.5542087723667011
AAPL,PRICE+TECH+LAG,38,4,test,125,0.00676930604843476,0.008048594470575309,-0.5794742827497248
AAPL,ALL_NO_MACRO,47,4,test,125,0.00701120211592958,0.008326060694263015,-0.6902525973684339
AAPL,ALL_NO_REGIME,51,4,test,125,0.006601425483206365,0.008077500436132744,-0.5908397987946239
AAPL,ALL_FULL,60,4,test,125,0.0067191201714019875,0.008223867556917914,-0.649015288588265
AAPL,PRICE_ONLY,5,5,test,125,0.007834782945492986,0.009335693868237497,-0.4241908911075438
AAPL,PRICE+TECH,33,5,test,125,0.00541988149960108,0.0069117359149985045,0.21936274803813371
AAPL,PRICE+TECH+LAG,38,5,test,125,0.005295580351881369,0.006786112318631545,0.24748166388265058
AAPL,ALL_NO_MACRO,47,5,test,125,0.005511115153592282,0.007041687199386279,0.18973242819086633
