symbol,entry_date,exit_date,entry_price,exit_price,position_pct,ret_pct,pnl,equity_after,holding_days
AAPL,2024-04-03,2024-04-10,169.65,167.78,0.1,-1.1023,-120.23,99879.77,5
AAPL,2024-04-17,2024-04-24,168.0,169.02,0.05,0.6071,25.33,99905.1,5
AAPL,2024-08-05,2024-08-12,209.27,217.53,0.05,3.9471,192.17,100097.27,5
AAPL,2024-08-26,2024-09-03,227.18,222.77,0.05,-1.9412,-102.16,99995.11,5
AAPL,2024-09-03,2024-09-10,222.77,220.11,0.1,-1.1941,-129.4,99865.71,5
AAPL,2024-10-24,2024-10-31,230.57,225.91,0.1,-2.0211,-211.82,99653.89,5
AAPL,2024-11-04,2024-11-11,222.01,224.23,0.05,1.0,44.84,99698.73,5
AAPL,2024-12-05,2024-12-12,243.04,247.96,0.1,2.0244,191.86,99890.59,5
AAPL,2024-12-12,2024-12-19,247.96,249.79,0.1,0.738,63.73,99954.32,5
AAPL,2024-12-24,2025-01-02,258.2,243.85,0.1,-5.5577,-565.51,99388.81,5
AAPL,2025-01-02,2025-01-10,243.85,236.85,0.05,-2.8706,-147.62,99241.18,5
AAPL,2025-01-13,2025-01-21,234.4,222.64,0.1,-5.0171,-507.82,98733.36,5
AAPL,2025-01-21,2025-01-28,222.64,238.26,0.05,7.0158,341.41,99074.77,5
AAPL,2025-01-28,2025-02-04,238.26,232.8,0.1,-2.2916,-236.95,98837.82,5
AAPL,2025-02-04,2025-02-11,232.8,232.62,0.1,-0.0773,-17.53,98820.3,5
AAPL,2025-02-14,2025-02-24,244.6,247.1,0.05,1.0221,45.56,98865.86,5
AAPL,2025-02-24,2025-03-03,247.1,238.03,0.1,-3.6706,-372.78,98493.07,5
AAPL,2025-03-03,2025-03-10,238.03,227.48,0.1,-4.4322,-446.39,98046.68,5
AAPL,2025-03-10,2025-03-17,227.48,214.0,0.05,-5.9258,-295.4,97751.28,5
AAPL,2025-03-17,2025-03-24,214.0,220.73,0.1,3.1449,297.64,98048.92,5
AAPL,2025-03-24,2025-03-31,220.73,222.13,0.1,0.6343,52.38,98101.3,5
AAPL,2025-03-31,2025-04-07,222.13,181.46,0.1,-18.3091,-1805.96,96295.34,5
AAPL,2025-04-07,2025-04-14,181.46,202.52,0.05,11.6059,553.98,96849.33,5
AAPL,2025-04-21,2025-04-28,193.16,210.14,0.05,8.7906,420.84,97270.17,5
AAPL,2025-07-09,2025-07-16,211.14,210.16,0.05,-0.4641,-27.44,97242.73,5
AAPL,2025-07-16,2025-07-23,210.16,214.15,0.1,1.8985,174.9,97417.62,5
AAPL,2025-07-23,2025-07-30,214.15,209.05,0.1,-2.3815,-241.74,97175.88,5
AAPL,2025-08-22,2025-08-29,227.76,232.14,0.05,1.9231,88.58,97264.46,5
AAPL,2025-10-07,2025-10-14,256.48,247.77,0.1,-3.396,-340.03,96924.43,5
AAPL,2026-01-22,2026-01-29,248.35,258.28,0.05,3.9984,188.92,97113.35,5
AAPL,2026-03-06,2026-03-13,257.46,250.12,0.1,-2.8509,-286.57,96826.78,5
AAPL,2026-03-13,2026-03-20,250.12,247.99,0.1,-0.8516,-92.14,96734.64,5
AAPL,2026-03-20,2026-03-27,247.99,248.8,0.1,0.3266,21.92,96756.56,5
AAPL,2026-03-27,2026-04-06,248.8,258.86,0.1,4.0434,381.55,97138.11,5
AAPL,2026-04-06,2026-04-13,258.86,259.2,0.1,0.1314,3.05,97141.16,5
AAPL,2026-04-13,2026-04-20,259.2,273.05,0.05,5.3434,254.67,97395.83,5
^DJI,2024-04-03,2024-04-10,39127.1406,38461.5117,0.05,-1.7012,-90.06,99909.94,5
^DJI,2024-04-10,2024-04-17,38461.5117,37753.3086,0.05,-1.8413,-96.98,99812.96,5
^DJI,2024-04-17,2024-04-24,37753.3086,38460.9219,0.1,1.8743,177.1,99990.06,5
^DJI,2024-05-03,2024-05-10,38675.6797,39512.8398,0.05,2.1646,103.22,100093.28,5
^DJI,2024-05-13,2024-05-20,39431.5117,39806.7695,0.05,0.9517,42.62,100135.9,5
^DJI,2024-05-31,2024-06-07,38686.3203,38798.9883,0.1,0.2912,19.15,100155.05,5
^DJI,2024-06-21,2024-06-28,39150.3281,39118.8594,0.1,-0.0804,-18.07,100136.98,5
^DJI,2024-06-28,2024-07-08,39118.8594,39344.7891,0.1,0.5775,47.82,100184.8,5
^DJI,2024-08-02,2024-08-09,39737.2617,39497.5391,0.1,-0.6033,-70.46,100114.35,5
^DJI,2024-08-16,2024-08-23,40659.7617,41175.0781,0.05,1.2674,58.44,100172.78,5
^DJI,2024-09-03,2024-09-10,40936.9297,40736.9609,0.05,-0.4885,-29.47,100143.31,5
^DJI,2024-09-10,2024-09-17,40736.9609,41606.1797,0.1,2.1337,203.66,100346.97,5
^DJI,2024-09-17,2024-09-24,41606.1797,42208.2188,0.1,1.447,135.17,100482.14,5
^DJI,2024-09-24,2024-10-01,42208.2188,42156.9688,0.1,-0.1214,-22.25,100459.89,5
^DJI,2024-10-01,2024-10-08,42156.9688,42080.3711,0.1,-0.1817,-28.3,100431.59,5
^DJI,2024-10-10,2024-10-17,42454.1211,43239.0508,0.05,1.8489,87.82,100519.41,5
^DJI,2024-10-24,2024-10-31,42374.3594,41763.4609,0.05,-1.4417,-77.48,100441.93,5
^DJI,2024-11-25,2024-12-03,44736.5703,44705.5312,0.05,-0.0694,-8.51,100433.42,5
^DJI,2024-12-03,2024-12-10,44705.5312,44247.8281,0.1,-1.0238,-112.87,100320.56,5
^DJI,2024-12-10,2024-12-17,44247.8281,43449.8984,0.1,-1.8033,-190.94,100129.61,5
^DJI,2024-12-17,2024-12-24,43449.8984,43297.0312,0.1,-0.3518,-45.24,100084.37,5
^DJI,2024-12-26,2025-01-03,43325.8008,42732.1289,0.1,-1.3703,-147.15,99937.22,5
^DJI,2025-01-21,2025-01-28,44025.8086,44850.3516,0.1,1.8729,177.17,100114.4,5
^DJI,2025-02-10,2025-02-18,44470.4102,44556.3398,0.1,0.1932,9.33,100123.73,5
^DJI,2025-02-24,2025-03-03,43461.2109,43191.2383,0.05,-0.6212,-36.1,100087.63,5
^DJI,2025-03-03,2025-03-10,43191.2383,41911.7109,0.05,-2.9625,-153.26,99934.37,5
^DJI,2025-03-10,2025-03-17,41911.7109,41841.6289,0.1,-0.1672,-26.7,99907.67,5
^DJI,2025-03-17,2025-03-24,41841.6289,42583.3203,0.1,1.7726,167.11,100074.77,5
^DJI,2025-03-24,2025-03-31,42583.3203,42001.7617,0.1,-1.3657,-146.68,99928.09,5
