symbol,mode,fold,split,task,horizon_days,model,n_rows,mae,rmse,r2,extra
AAPL,walk,0,val,volatility,5,BASELINE_PERSIST,121,0.011695318400165983,0.016220126150733757,0.3076319170170849,pcol=persist_vol_kd
AAPL,walk,0,test,volatility,5,BASELINE_PERSIST,121,0.009212079398224464,0.01170149308262595,-0.774105815774514,pcol=persist_vol_kd
AAPL,walk,0,val,volatility,5,BASELINE_ZERO,121,0.02516574355900789,0.03183243614586601,-1.666664242141465,
AAPL,walk,0,test,volatility,5,BASELINE_ZERO,121,0.020521770773257036,0.02232314421465568,-5.456656602078039,
AAPL,walk,0,val,volatility,5,BASELINE_MEAN_TRAIN,121,0.014530592836371686,0.023513355893139024,-0.45498266424460043,mean=0.012017
AAPL,walk,0,test,volatility,5,BASELINE_MEAN_TRAIN,121,0.009238523738588179,0.012227437984377544,-0.9371707228730108,mean=0.012017
AAPL,walk,0,val,volatility,5,EXTRATREES,121,0.010477250455795584,0.01666001328264487,0.2695688751640052,
AAPL,walk,0,test,volatility,5,EXTRATREES,121,0.006810762452198626,0.00917003130801278,-0.08952850233540399,
AAPL,walk,0,val,volatility,5,XGB,121,0.013730123229823843,0.022455419021708247,-0.326999964393637,
AAPL,walk,0,test,volatility,5,XGB,121,0.008080131063104477,0.010660757498729884,-0.4725603013324564,
AAPL,walk,0,val,volatility,5,LGBM,121,0.01198816624819735,0.01935278462078159,0.014366375368105144,
AAPL,walk,0,test,volatility,5,LGBM,121,0.008043747513975678,0.01067905005367991,-0.4776181033574607,
AAPL,walk,0,val,volatility,5,HGB,121,0.010230375461014626,0.016528000370438195,0.28109879415713335,
AAPL,walk,0,test,volatility,5,HGB,121,0.008377644380670988,0.01126616174972215,-0.6445569728320653,
AAPL,walk,0,val,volatility,5,HYBRID_STACK_REG,121,0.014374756691038139,0.023290275808803138,-0.4275056880496524,stacking regressor with Ridge meta
AAPL,walk,0,test,volatility,5,HYBRID_STACK_REG,121,0.009145408393625187,0.01213018029067877,-0.9064765633431977,stacking regressor with Ridge meta
AAPL,walk,1,val,volatility,5,BASELINE_PERSIST,121,0.009608586858082338,0.011791648868457131,-0.4630713868961971,pcol=persist_vol_kd
AAPL,walk,1,test,volatility,5,BASELINE_PERSIST,121,0.0067880046559294135,0.008373301158881435,-0.7804020428692731,pcol=persist_vol_kd
AAPL,walk,1,val,volatility,5,BASELINE_ZERO,121,0.019687049520902153,0.021968498232455103,-4.078286275239443,
AAPL,walk,1,test,volatility,5,BASELINE_ZERO,121,0.01564417384912653,0.016855863716721948,-6.214839649314253,
AAPL,walk,1,val,volatility,5,BASELINE_MEAN_TRAIN,121,0.008660499704493105,0.01171262609022321,-0.44352729060900664,mean=0.0131947
AAPL,walk,1,test,volatility,5,BASELINE_MEAN_TRAIN,121,0.005228377414733879,0.006736459963033321,-0.15235987216908775,mean=0.0131947
AAPL,walk,1,val,volatility,5,EXTRATREES,121,0.012429392178479439,0.014046434775602301,-1.0761018438128391,
AAPL,walk,1,test,volatility,5,EXTRATREES,121,0.013448299608041222,0.014685936446325055,-4.476813467231886,
AAPL,walk,1,val,volatility,5,XGB,121,0.007972622215531019,0.010018881557842222,-0.056221309602041636,
AAPL,walk,1,test,volatility,5,XGB,121,0.008077482762131629,0.009810964589519081,-1.4442638079285879,
AAPL,walk,1,val,volatility,5,LGBM,121,0.007872964690494722,0.009904026079775247,-0.032143283785111,
AAPL,walk,1,test,volatility,5,LGBM,121,0.008442668621310179,0.009922492877856392,-1.5001510761475911,
AAPL,walk,1,val,volatility,5,HGB,121,0.010598387616594733,0.012330826636807202,-0.5999294191109301,
AAPL,walk,1,test,volatility,5,HGB,121,0.016229881321631407,0.017272048033968826,-6.575518009815471,
AAPL,walk,1,val,volatility,5,HYBRID_STACK_REG,121,0.00825036578421485,0.010964026920720196,-0.2649012647228084,stacking regressor with Ridge meta
AAPL,walk,1,test,volatility,5,HYBRID_STACK_REG,121,0.004983952523921509,0.00614121852367497,0.04229057105807754,stacking regressor with Ridge meta
AAPL,walk,2,val,volatility,5,BASELINE_PERSIST,121,0.009212079398224464,0.01170149308262595,-0.774105815774514,pcol=persist_vol_kd
AAPL,walk,2,test,volatility,5,BASELINE_PERSIST,121,0.005521797382169024,0.007014318370824137,-0.34154698674574036,pcol=persist_vol_kd
AAPL,walk,2,val,volatility,5,BASELINE_ZERO,121,0.020521770773257036,0.02232314421465568,-5.456656602078039,
AAPL,walk,2,test,volatility,5,BASELINE_ZERO,121,0.013112882857469102,0.01444376229791215,-4.6884717444106485,
AAPL,walk,2,val,volatility,5,BASELINE_MEAN_TRAIN,121,0.008475178800796962,0.011393970035198904,-0.6820817739633824,mean=0.0132662
AAPL,walk,2,test,volatility,5,BASELINE_MEAN_TRAIN,121,0.004711966432892267,0.006057894688529284,-0.000641195543302775,mean=0.0132662
AAPL,walk,2,val,volatility,5,EXTRATREES,121,0.007780861816086473,0.009808963950440962,-0.24664625291779818,
AAPL,walk,2,test,volatility,5,EXTRATREES,121,0.00912301676907755,0.01025822305618296,-1.8693215255279,
AAPL,walk,2,val,volatility,5,XGB,121,0.007054799465520488,0.009560937441619755,-0.18439867332023652,
AAPL,walk,2,test,volatility,5,XGB,121,0.008423365480684506,0.009868906422291003,-1.6556632394852402,
AAPL,walk,2,val,volatility,5,LGBM,121,0.006941126719349717,0.009242953905127804,-0.10692585996038395,
AAPL,walk,2,test,volatility,5,LGBM,121,0.008634019420291012,0.010000293374814851,-1.7268448084457342,
AAPL,walk,2,val,volatility,5,HGB,121,0.011629999443052912,0.013381000042107669,-1.3199258455687923,
AAPL,walk,2,test,volatility,5,HGB,121,0.015528073035240127,0.016616766191751536,-6.528838101252898,
AAPL,walk,2,val,volatility,5,HYBRID_STACK_REG,121,0.007763742538697953,0.010520142247641619,-0.4339703891347746,stacking regressor with Ridge meta
AAPL,walk,2,test,volatility,5,HYBRID_STACK_REG,121,0.004935863753281583,0.0059165065221284474,0.04552263176840721,stacking regressor with Ridge meta
AAPL,walk,3,val,volatility,5,BASELINE_PERSIST,121,0.0067880046559294135,0.008373301158881435,-0.7804020428692731,pcol=persist_vol_kd
AAPL,walk,3,test,volatility,5,BASELINE_PERSIST,121,0.004022651462403869,0.004793567691449151,-0.6135029827490914,pcol=persist_vol_kd
AAPL,walk,3,val,volatility,5,BASELINE_ZERO,121,0.01564417384912653,0.016855863716721948,-6.214839649314253,
AAPL,walk,3,test,volatility,5,BASELINE_ZERO,121,0.01068037095307583,0.011327469649044679,-8.009856164820736,
AAPL,walk,3,val,volatility,5,BASELINE_MEAN_TRAIN,121,0.005170622059783757,0.0065517771269505785,-0.09004114647696726,mean=0.0137611
AAPL,walk,3,test,volatility,5,BASELINE_MEAN_TRAIN,121,0.003996734019009008,0.004871589218978942,-0.6664541333236524,mean=0.0137611
AAPL,walk,3,val,volatility,5,EXTRATREES,121,0.009472350543354588,0.010827440652974828,-1.9769825208486362,
AAPL,walk,3,test,volatility,5,EXTRATREES,121,0.01228267586995427,0.01295542869660795,-10.785706463621723,
AAPL,walk,3,val,volatility,5,XGB,121,0.010991232559322087,0.012405562924579368,-2.90802751417908,
AAPL,walk,3,test,volatility,5,XGB,121,0.013878337888320928,0.014907235950712803,-14.604371977081485,
AAPL,walk,3,val,volatility,5,LGBM,121,0.012636981160574722,0.013915535645537836,-3.9172752268240947,
AAPL,walk,3,test,volatility,5,LGBM,121,0.017004542098260435,0.017695354217735874,-20.987232288094933,
AAPL,walk,3,val,volatility,5,HGB,121,0.012861737013374853,0.01448848749292191,-4.3305345333828145,
AAPL,walk,3,test,volatility,5,HGB,121,0.018551318672311596,0.01960509229281413,-25.98918844748223,
AAPL,walk,3,val,volatility,5,HYBRID_STACK_REG,121,0.005038425532620509,0.006129247520203825,0.04602063498961673,stacking regressor with Ridge meta
AAPL,walk,3,test,volatility,5,HYBRID_STACK_REG,121,0.005170724239529307,0.005992873697866072,-1.5218676648536653,stacking regressor with Ridge meta
AAPL,walk,4,val,volatility,5,BASELINE_PERSIST,121,0.005521797382169024,0.007014318370824137,-0.34154698674574036,pcol=persist_vol_kd
AAPL,walk,4,test,volatility,5,BASELINE_PERSIST,121,0.005177026974026392,0.00652342388104258,-0.5538358854590089,pcol=persist_vol_kd
AAPL,walk,4,val,volatility,5,BASELINE_ZERO,121,0.013112882857469102,0.01444376229791215,-4.6884717444106485,
AAPL,walk,4,test,volatility,5,BASELINE_ZERO,121,0.012284530741358697,0.013352782322895567,-5.510247316554434,
AAPL,walk,4,val,volatility,5,BASELINE_MEAN_TRAIN,121,0.004928641667477019,0.006112210821051311,-0.018665483732017707,mean=0.0139403
AAPL,walk,4,test,volatility,5,BASELINE_MEAN_TRAIN,121,0.004380693726838047,0.005488946255914517,-0.10009934422868283,mean=0.0139403
AAPL,walk,4,val,volatility,5,EXTRATREES,121,0.006546403843950863,0.007436775366541121,-0.5080101581331782,
AAPL,walk,4,test,volatility,5,EXTRATREES,121,0.007349515522787744,0.008452037036346643,-1.6084152564902716,
AAPL,walk,4,val,volatility,5,XGB,121,0.006626226865560404,0.00784640781764142,-0.6787139281889121,
AAPL,walk,4,test,volatility,5,XGB,121,0.008131073175816716,0.009565944408860891,-2.341255250615499,
AAPL,walk,4,val,volatility,5,LGBM,121,0.0064030909065823345,0.0073927178703185855,-0.49019535354249366,
AAPL,walk,4,test,volatility,5,LGBM,121,0.00812693902844704,0.009628380797655784,-2.385013966993126,
AAPL,walk,4,val,volatility,5,HGB,121,0.007502185624072752,0.008663864111198794,-1.0467189186257544,
AAPL,walk,4,test,volatility,5,HGB,121,0.009547686813858461,0.010947596675470829,-3.3761432197757726,
AAPL,walk,4,val,volatility,5,HYBRID_STACK_REG,121,0.005075285671904279,0.006077567102282885,-0.007150714516926282,stacking regressor with Ridge meta
AAPL,walk,4,test,volatility,5,HYBRID_STACK_REG,121,0.004730397371634926,0.005733281662205106,-0.20021902083217857,stacking regressor with Ridge meta
AAPL,walk,5,val,volatility,5,BASELINE_PERSIST,121,0.004022651462403869,0.004793567691449151,-0.6135029827490914,pcol=persist_vol_kd
AAPL,walk,5,test,volatility,5,BASELINE_PERSIST,121,0.006778967879406042,0.009006988319524532,-1.0934238567077124,pcol=persist_vol_kd
AAPL,walk,5,val,volatility,5,BASELINE_ZERO,121,0.01068037095307583,0.011327469649044679,-8.009856164820736,
AAPL,walk,5,test,volatility,5,BASELINE_ZERO,121,0.015256544675739609,0.016477708005833147,-6.006345914241371,
AAPL,walk,5,val,volatility,5,BASELINE_MEAN_TRAIN,121,0.0041269670931013995,0.0050159658754788655,-0.7666934136699421,mean=0.0139847
AAPL,walk,5,test,volatility,5,BASELINE_MEAN_TRAIN,121,0.005019611776917956,0.006353759866410657,-0.04174053730847915,mean=0.0139847
AAPL,walk,5,val,volatility,5,EXTRATREES,121,0.0052573462852992005,0.0061501515245497105,-1.6559731185845794,
AAPL,walk,5,test,volatility,5,EXTRATREES,121,0.005059317548534048,0.006406536341242152,-0.05911850975665711,
AAPL,walk,5,val,volatility,5,XGB,121,0.0059620864164850506,0.007042630237749568,-2.4827461239066317,
AAPL,walk,5,test,volatility,5,XGB,121,0.005197705374195406,0.006499492614990541,-0.09007625424253529,
AAPL,walk,5,val,volatility,5,LGBM,121,0.005759472133953411,0.006858226828361671,-2.3027502426087176,
AAPL,walk,5,test,volatility,5,LGBM,121,0.00519345218813474,0.006691137625267977,-0.15530830510011895,
AAPL,walk,5,val,volatility,5,HGB,121,0.006866241099454548,0.008251084740048004,-3.780508979650496,
AAPL,walk,5,test,volatility,5,HGB,121,0.006135896819928974,0.007695879852655138,-0.5283208143323406,
AAPL,walk,5,val,volatility,5,HYBRID_STACK_REG,121,0.004277594081594031,0.00513447814784576,-0.8511630081865547,stacking regressor with Ridge meta
AAPL,walk,5,test,volatility,5,HYBRID_STACK_REG,121,0.004876917901940297,0.006021521769025604,0.06435631329158975,stacking regressor with Ridge meta
AAPL,walk,6,val,volatility,5,BASELINE_PERSIST,121,0.005177026974026392,0.00652342388104258,-0.5538358854590089,pcol=persist_vol_kd
AAPL,walk,6,test,volatility,5,BASELINE_PERSIST,121,0.005821388984317833,0.007531197346885637,-0.1348713437749589,pcol=persist_vol_kd
AAPL,walk,6,val,volatility,5,BASELINE_ZERO,121,0.012284530741358697,0.013352782322895567,-5.510247316554434,
AAPL,walk,6,test,volatility,5,BASELINE_ZERO,121,0.018942382717751186,0.020218609172125236,-7.1793940035378085,
AAPL,walk,6,val,volatility,5,BASELINE_MEAN_TRAIN,121,0.004365257684678617,0.0054739033198139605,-0.09407777041183785,mean=0.0138897
AAPL,walk,6,test,volatility,5,BASELINE_MEAN_TRAIN,121,0.0065339436857087775,0.008689537218969747,-0.5108170226383486,mean=0.0138897
AAPL,walk,6,val,volatility,5,EXTRATREES,121,0.004110348262443737,0.005191898463282745,0.015747945953719755,
AAPL,walk,6,test,volatility,5,EXTRATREES,121,0.0058442232596237495,0.007933949471179468,-0.2594978617340249,
AAPL,walk,6,val,volatility,5,XGB,121,0.004487803643512045,0.0056553264349196615,-0.167802243396465,
AAPL,walk,6,test,volatility,5,XGB,121,0.005295186334060429,0.0070654295902920945,0.001160474469393713,
AAPL,walk,6,val,volatility,5,LGBM,121,0.00459555668273191,0.005776530740068807,-0.21839505146894256,
AAPL,walk,6,test,volatility,5,LGBM,121,0.006767992610543975,0.00931935719261957,-0.7377627731773584,
AAPL,walk,6,val,volatility,5,HGB,121,0.004472441742712467,0.005685813195775164,-0.1804269684999238,
AAPL,walk,6,test,volatility,5,HGB,121,0.005938331105914125,0.0076797555167920925,-0.18008519856710792,
AAPL,walk,6,val,volatility,5,HYBRID_STACK_REG,121,0.0042156542318477494,0.005263651763154569,-0.011645251007531776,stacking regressor with Ridge meta
AAPL,walk,6,test,volatility,5,HYBRID_STACK_REG,121,0.0059199931636949865,0.007630880342578518,-0.1651124986685908,stacking regressor with Ridge meta
AAPL,walk,7,val,volatility,5,BASELINE_PERSIST,121,0.006778967879406042,0.009006988319524532,-1.0934238567077124,pcol=persist_vol_kd
AAPL,walk,7,test,volatility,5,BASELINE_PERSIST,121,0.007297509308183412,0.00961065791413041,-0.6461116149934389,pcol=persist_vol_kd
AAPL,walk,7,val,volatility,5,BASELINE_ZERO,121,0.015256544675739609,0.016477708005833147,-6.006345914241371,
AAPL,walk,7,test,volatility,5,BASELINE_ZERO,121,0.019432976888403085,0.020826700533219885,-6.730257947097966,
AAPL,walk,7,val,volatility,5,BASELINE_MEAN_TRAIN,121,0.00504875834875386,0.006404966784034505,-0.058599619869697195,mean=0.0137496
AAPL,walk,7,test,volatility,5,BASELINE_MEAN_TRAIN,121,0.007227795063681788,0.00940274857859014,-0.5756606469735297,mean=0.0137496
AAPL,walk,7,val,volatility,5,EXTRATREES,121,0.0046527222662015345,0.006026883919058758,0.06268919462666689,
AAPL,walk,7,test,volatility,5,EXTRATREES,121,0.008488684741568693,0.010628399952374171,-1.0132087937998837,
AAPL,walk,7,val,volatility,5,XGB,121,0.004569488990201034,0.00595522409294193,0.08484599017235828,
AAPL,walk,7,test,volatility,5,XGB,121,0.0068719185525221525,0.008750084268181869,-0.36451248042787676,
AAPL,walk,7,val,volatility,5,LGBM,121,0.004807027908788913,0.006150588042899481,0.023816979819661133,
AAPL,walk,7,test,volatility,5,LGBM,121,0.009513296522322108,0.012414585036723222,-1.7467393953932802,
AAPL,walk,7,val,volatility,5,HGB,121,0.005623758145108483,0.007072245615724867,-0.2906623464879947,
