task,K,symbol,model,metric,metric_mean,metric_std,n_folds
direction,5,AAPL,BASELINE_ALL_ZERO,AUC,0.5,0.0,14
direction,5,AAPL,BASELINE_CONST_FROM_TRAIN,AUC,0.5,0.0,14
direction,5,AAPL,HGB,AUC,0.48857366025841265,0.07916486003620093,14
direction,5,AAPL,HYBRID_STACK,AUC,0.5585658294673818,0.05485019853297732,14
direction,5,AAPL,HYBRID_VOTING,AUC,0.4739142499899832,0.08989251326126334,14
direction,5,AAPL,LGBM,AUC,0.47172148933125213,0.08183892134045098,14
direction,5,AAPL,LOGREG,AUC,0.5335758584976212,0.0886021223529287,14
direction,5,AAPL,LSTM,AUC,0.536155606852452,0.10526262269254673,21
direction,5,AAPL,RF,AUC,0.4778147855008893,0.08382373054236733,14
direction,5,AAPL,XGB,AUC,0.45924950113140267,0.08334828863675578,14
direction,10,AAPL,BASELINE_ALL_ZERO,AUC,0.5,0.0,14
direction,10,AAPL,BASELINE_CONST_FROM_TRAIN,AUC,0.5,0.0,14
direction,10,AAPL,HGB,AUC,0.5147605765730764,0.17073825747965576,14
direction,10,AAPL,HYBRID_STACK,AUC,0.5602293978401868,0.0945652772195511,14
direction,10,AAPL,HYBRID_VOTING,AUC,0.49665795569015253,0.16011247455116553,14
direction,10,AAPL,LGBM,AUC,0.4696135272386552,0.15614968574534038,14
direction,10,AAPL,LOGREG,AUC,0.5085884448873504,0.12937653474006233,14
direction,10,AAPL,RF,AUC,0.45506724445065283,0.14228081193313707,14
direction,10,AAPL,XGB,AUC,0.4970245974813553,0.1520090312430378,14
direction,5,GLD,BASELINE_ALL_ZERO,AUC,0.5,0.0,14
direction,5,GLD,BASELINE_CONST_FROM_TRAIN,AUC,0.5,0.0,14
direction,5,GLD,HGB,AUC,0.5504848263300139,0.10115306673238293,14
direction,5,GLD,HYBRID_STACK,AUC,0.4699381915755258,0.08128226042518769,14
direction,5,GLD,HYBRID_VOTING,AUC,0.5545535978687457,0.09118186200094995,14
direction,5,GLD,LGBM,AUC,0.5548524981626384,0.08396389008833269,14
direction,5,GLD,LOGREG,AUC,0.5509800074969179,0.12570985005362872,14
direction,5,GLD,RF,AUC,0.5742753703487767,0.10447396300103196,14
direction,5,GLD,XGB,AUC,0.5386914226515634,0.07966278842806922,14
direction,10,GLD,BASELINE_ALL_ZERO,AUC,0.5,0.0,14
direction,10,GLD,BASELINE_CONST_FROM_TRAIN,AUC,0.5,0.0,14
direction,10,GLD,HGB,AUC,0.5642043679608197,0.08316972939072334,14
direction,10,GLD,HYBRID_STACK,AUC,0.5258794680474477,0.09899927091048126,14
direction,10,GLD,HYBRID_VOTING,AUC,0.5643095910397575,0.08106023408364457,14
direction,10,GLD,LGBM,AUC,0.5584248774923585,0.07232062778256906,14
direction,10,GLD,LOGREG,AUC,0.5811383068177159,0.11176769439455377,14
direction,10,GLD,RF,AUC,0.5592330171426576,0.11600693443004857,14
direction,10,GLD,XGB,AUC,0.5593741299394186,0.09330984483424257,14
direction,5,MSFT,BASELINE_ALL_ZERO,AUC,0.5,0.0,14
